material_type,material_cost_per_kg,quantity,machine_hours,machine_rate_per_hr,labor_hours,labor_rate_per_hr,energy_consumption_kWh,energy_rate_per_kWh,overhead_cost,defect_rate,inventory_time_days,inventory_cost_per_day,total_cost
Plastic,16.36,498.19,36.6,10.57,10.92,29.86,108.28,0.21,875.01,1.45,64,13.03,10713.17
Copper,11.42,187.31,48.36,98.05,4.31,19.66,115.53,0.06,231.33,9.1,61,11.53,8101.76
Copper,14.7,227.06,11.6,96.92,3.74,23.1,153.01,0.05,102.13,6.77,53,14.4,5647.4
Plastic,12.03,362.43,33.32,45.56,18.37,7.95,94.65,0.12,493.24,14.08,102,8.93,8053.48
Copper,8.77,443.67,37.22,75.55,6.89,39.46,195.89,0.25,523.8,1.84,59,15.4,8527.8
Plastic,23.81,298.56,42.5,41.12,7.76,28.32,456.31,0.09,832.6,3.18,45,8.47,10556.95
Aluminum,19.56,198.81,21.42,70.4,15.32,14.99,311.52,0.08,454.91,0.44,4,16.7,6190.08
Plastic,5.22,209.25,15.5,82.49,7.11,25.5,211.85,0.17,579.44,6.51,112,6.08,3919.71
Plastic,21.97,349.33,16.6,95.21,19.07,8.83,467.86,0.24,536.53,4.17,21,6.27,10524.18
Copper,13.21,6.59,35.77,46.02,14.89,38.8,33.75,0.26,57.44,13.05,89,10.93,3361.27
Copper,22.57,311.7,40.93,80.5,12.15,11.12,113.04,0.1,622.91,9.07,52,9.18,12214.7
Steel,20.4,180.97,9.49,33.93,17.68,27.68,287.29,0.07,831.48,9.21,69,13.31,6613.16
Steel,11.78,398.13,18.86,99.13,1.47,13.59,311.62,0.33,174.35,7.98,31,7.92,7476.5
Aluminum,2.52,51.03,45.15,12.32,5.51,30.11,29.38,0.13,602.45,1.38,111,5.38,2055.97
Steel,8.18,296.16,40.43,64.32,9.57,32.19,207.49,0.31,601.74,6.68,10,9.93,6258.3
Plastic,14.46,243.08,49.25,69.36,4.93,28.57,328.09,0.31,180.9,14.99,9,11.66,7986.2
Copper,16.57,322.95,37.84,71.92,15.01,26.51,352.05,0.28,140.99,12.53,110,3.71,9788.83
Steel,7.93,37.1,19.96,20.83,18.42,36.24,322.69,0.1,980.45,13.4,38,11.58,2869.69
Steel,5.21,292.09,29.74,94.47,8.76,7.75,167.08,0.3,405.84,12.35,118,7.07,5877.38
Aluminum,21.2,282.93,33.22,26.31,7.17,16.58,55.82,0.28,242.87,1.55,97,8.46,8163.1
Titanium,24.64,282.53,4.38,66.05,19.25,13.69,219.29,0.23,187.9,3.41,30,6.31,8179.4
Aluminum,14.09,303.73,27.45,30.04,9.17,39.58,73.09,0.15,674.25,0.05,11,18.7,6360.16
Plastic,5.95,339.85,35.61,37.65,10.04,18.63,474.34,0.13,617.26,4.55,114,13.98,5914.52
Copper,8.26,403.47,8.78,59.18,7.36,30.64,242.83,0.09,650.68,1.63,107,5.99,5445.56
Aluminum,2.42,138.56,39.14,47.55,18.24,28.97,165.46,0.2,106.25,7.09,79,13.26,3935.49
Steel,23.03,413.4,29.4,24.42,11.59,12.42,385.49,0.23,895.66,10.16,37,17.12,12967.55
Copper,4.71,251.64,47.63,25.38,15.36,13.36,253.99,0.16,401.48,13.12,66,8.63,3766.48
Copper,15.26,43.14,2.6,47.63,16.33,14.84,161.92,0.19,327.1,11.24,65,16.77,2546.4
Steel,8.3,33.98,13.63,78.16,7.17,19.39,407.86,0.16,473.11,14.08,51,3.93,2264.89
Aluminum,14.75,170.45,30.28,90.82,8.96,13.2,434.9,0.24,402.26,0.81,4,16.63,5975.96
Steel,16.98,393.52,15.18,17.57,17.05,5.69,339.77,0.32,866.31,0.18,10,11.27,8145.46
Titanium,21.08,355.3,35.86,45.38,7.58,35.78,33.01,0.1,930.68,9.92,24,5.24,11190.98
Copper,6.75,395.36,38.07,19.02,15.98,38.8,287.5,0.16,317.38,4.34,34,8.74,4789.16
Brass,2.25,261.05,5.57,11.49,18.85,16.95,384.01,0.09,866.66,3.8,34,19.77,2566.59
Brass,5.15,222.9,25.94,69.55,12.65,16.85,76.89,0.24,785.89,4.96,21,15.89,4360.19
Plastic,22.7,77.99,25.69,64.22,14.96,5.25,122.05,0.27,932.19,4.05,36,11.93,4965.05
Steel,22.1,167.46,18.78,24.67,16.2,28.81,442.42,0.33,260.84,7.67,85,3.19,5592.74
Steel,15.74,219.84,46.68,31.04,16.98,33.89,19.86,0.13,585.42,6.6,54,8.94,6783.82
Plastic,15.81,48.86,41.46,12.13,8.2,10.13,378.84,0.34,289.05,7.69,74,6,2279.71
Plastic,17.3,114.2,35.01,85.15,1.5,10.59,242.15,0.07,827.61,10.09,95,2.35,6239.8
Plastic,6.03,301.12,35.86,97.72,8.34,32.65,228.92,0.23,25.22,5.81,98,11.3,6883.06
Copper,23.03,369.15,23.35,22.19,13.64,26.57,13.48,0.07,573.52,3.77,94,17.89,11958.71
Titanium,11.63,499.18,46.09,30.83,9.28,6.57,411.51,0.32,352.42,2.49,108,13.84,9410.77
Steel,10.81,466.89,34.88,88.16,15.1,26.79,186.31,0.21,336.23,5.24,116,5.74,9832.29
Copper,13.94,323.07,36.58,93.38,7.46,15.81,274.98,0.25,652.01,11.13,71,11.9,10104.28
Plastic,3.08,213.52,43.15,47.77,12.88,17.91,341.88,0.3,854.45,11.35,63,18.92,5173.21
Steel,5.82,319.91,14.07,14.56,4.14,31.94,354.29,0.1,617.01,10,19,14.74,3317.65
Copper,18.97,393.9,40.45,13.55,15.11,33.38,478.43,0.06,856.11,3.51,105,14.1,11152.35
Titanium,3.9,63.58,10.16,61.66,11.14,19.01,270.36,0.31,279.31,8.82,97,19.4,3352.99
Copper,15.87,207.9,17.59,45.36,4.48,38.15,205.86,0.14,529.11,8.56,3,16.18,5157.06
Titanium,7.64,420.7,17.11,12.58,6.19,19.23,477.31,0.09,461.53,7.26,17,3.6,4347.46
Plastic,10.95,195,48.94,62.49,15.1,32.01,324.63,0.19,31.41,8.25,50,7.61,6326.61
Titanium,8.64,288.08,42.9,11.02,9.91,21.94,156.09,0.23,565.68,7.38,67,19.34,5260.24
Steel,10.18,295.95,35.21,80.86,4.71,36.41,71.97,0.06,668.29,8.48,19,10.3,7155.13
Plastic,18.54,96.32,36.49,37.58,19.36,36.77,422.85,0.13,600.08,10.73,8,3.12,4740.56
Steel,8.83,184.31,28.32,13.62,14.44,8.06,187.47,0.06,741.55,1.64,79,9.71,3676.14
Brass,15.03,170.58,47.38,62.95,19.16,37.78,333.63,0.18,579.91,11.24,25,14.24,7554.39
Aluminum,12.95,17.97,25.06,45.79,8.83,33.89,240.7,0.32,85.42,2.04,101,19.95,3861.6
Titanium,17.26,16.97,19.34,97.64,9.76,32.7,107.48,0.34,134.12,1,24,7.15,2845.6
Aluminum,23.55,416.69,8.57,58.98,18.01,12.03,304.83,0.24,604.55,14.64,67,10.77,13371.1
Aluminum,18.85,140.17,39.42,34.77,10.74,33.18,39.73,0.1,289.48,14.35,40,17.71,5750.2
Titanium,6.94,261.45,36.85,73.85,14.29,34.75,212.54,0.32,98.05,0.91,58,7.75,5664.49
Plastic,2.72,152.87,19.53,34.43,5.42,15.12,277.84,0.2,441.01,6.65,44,3.08,1829.92
Brass,8.03,470.64,1.75,91.38,9.21,38.33,223.66,0.1,563.24,2.79,40,19.03,5744.42
Steel,15.69,133.35,42.03,43.72,2.91,6.75,376.85,0.33,342.17,7.28,37,10.28,4948.66
Copper,3.18,217.68,1.07,59.49,4.52,10.25,415.68,0.28,726.03,12.45,116,10.55,2954.61
Steel,13.42,437,35.33,14.55,0.52,23.82,387.91,0.27,650.9,14.26,18,12.8,8213.3
Copper,15.73,421.76,48.53,48.35,1.27,25.15,29.02,0.26,346.16,9.51,13,1.07,10011.19
Steel,9.69,97.12,22.16,84.91,19.56,27.58,105.12,0.11,759.78,5.31,20,18.69,4557.28
Titanium,19.73,402.31,12.13,82.51,5.23,5.59,272.94,0.11,655.72,9.05,14,7.87,10481.93
Brass,4.45,231.8,35.39,30.19,13.43,38.61,468.06,0.26,644.7,4.68,2,8.54,3450.22
Copper,3.73,244.07,40.95,30.35,16.86,6.56,419.13,0.12,562.36,13.65,36,4.31,3155.9
Plastic,18.75,71.07,27.55,83.56,11.24,10.01,422.84,0.18,31.16,13.06,116,8.18,4977.34
Steel,13.4,44.9,48.37,93.74,3.49,5.49,158.57,0.28,702.58,8.37,113,16.27,7790.87
Steel,17.83,365.33,3.06,18.58,14.7,24.84,220.43,0.29,388.52,4.87,45,16.2,8434.51
Copper,12,250.75,25.49,50.51,12.2,37.63,240.65,0.19,943.76,4.4,15,18.78,6159.17
Plastic,7.67,221.24,36.06,40.37,14.76,28.31,87.11,0.29,821.63,0.5,13,8.66,4538.47
Plastic,20.84,366.11,43.2,88.36,15.51,33.79,25.22,0.3,595.94,12.24,8,14.47,13624.11
Titanium,20.39,383.93,9.37,17.52,19.52,5.46,473.98,0.25,267.14,6.76,110,10.64,10184.3
Titanium,17.98,83.66,40.1,29,11.68,23.97,127.95,0.12,219.64,4.88,6,16.28,3353.16
Titanium,8.26,307.06,27.86,77.72,7.16,21.08,127.57,0.13,353.58,7.07,13,14.54,5591.03
Titanium,15.58,72,20.13,14.62,13.15,22.46,50.86,0.14,487.04,12.28,5,7.99,2383.27
Titanium,10.3,376.93,7.02,54.33,1.83,7.53,464.97,0.09,310.14,1.87,84,7.4,5323.74
Titanium,4.11,330.19,43.33,49.79,18,28.96,294.07,0.13,524.63,12.86,14,5.8,4854.34
Brass,23.1,478.52,8.29,40.1,2.83,22.61,336.85,0.11,182.06,13.46,51,11.95,13766.63
Plastic,5.15,39.13,15.83,45.51,6.89,31.78,456.67,0.19,978.16,14.2,71,19.31,3605.46
Titanium,23.86,33.24,14.86,57.69,16.41,21.99,179.35,0.32,125.77,5.96,33,4.8,2400.07
Plastic,12.26,144.68,43.63,24.52,12.15,10.23,314.54,0.08,933.31,3.26,103,2.81,4273.61
Plastic,6.26,134.54,33.8,61.48,8.18,27.69,29.01,0.27,915.31,5.6,0,3.27,4117.06
Aluminum,14.46,127.25,39.94,82.49,9.73,11.03,101.52,0.26,534.85,4.99,95,15.88,7403.67
Brass,22.08,453.6,12.9,78.41,17.16,35.53,417.31,0.08,730.41,2.64,112,7.65,13521.68
Titanium,18.84,128.53,31.43,23.85,7.13,26.46,385.72,0.33,447.33,9.11,114,5.26,4754.63
Steel,20.55,139.62,28.8,23.43,17.46,10.5,181.81,0.22,637.43,7.15,68,7.7,5133.48
Copper,17.15,380.9,41.73,34.14,2.22,38.68,194.64,0.16,353.76,12.99,93,13.26,10509.61
Steel,17.92,227.62,45.35,42.5,15.65,23.14,271.44,0.28,315.14,0.48,85,11.39,7747.34
Brass,21.53,389.47,1.1,46.76,17.03,7.55,10.12,0.13,586.67,9.66,19,15.13,10250.78
Copper,7.74,37.36,33.86,71.17,4.05,26.94,128.21,0.26,508.17,11.44,79,7.44,3970.43
Brass,13.26,246.35,3.07,15.1,8.89,13.86,112.03,0.06,587.95,11.39,6,9.59,4460.45
Plastic,7.09,21.64,27.67,13.12,3.73,33.13,132.74,0.3,300.93,13.29,6,2.94,1018.82
Copper,24.72,36.01,14.74,45.27,14.28,33.62,404.89,0.18,379.62,10.94,49,2.39,2704.54
Plastic,23.71,453.69,15.69,72.74,10.94,39.26,147.04,0.24,102.22,13.92,113,9.78,15067.81
Steel,2.91,73.93,17.97,27.41,12.89,22.57,103.85,0.12,71.23,4.99,1,6.73,1099.78
Steel,18.23,268.55,31.25,67.74,4.33,20.92,257.09,0.25,268.39,7.55,46,12.64,8386.85
Copper,23.28,208.49,17.04,33.38,4.63,31.37,434.17,0.28,92.76,0.21,13,1.82,5815.87
Copper,6.15,176.93,36.77,89.75,1.31,9.64,128.26,0.19,121.7,0.1,30,3.31,4647.31
Titanium,15.06,450.42,20.52,90.61,6.78,24.14,48.48,0.24,816.67,3.6,49,17.44,10733.38
Brass,23.06,15.8,3.88,36.76,11.42,24.12,184.64,0.19,58.1,1.51,60,11.76,1586.71
Titanium,2.78,333.58,39.3,30.7,17.23,8.13,376.35,0.32,665.76,3.9,40,14.53,3677.5
Brass,18.04,481.88,14.65,47.02,13.51,19.63,279.84,0.2,287.11,2.66,13,17,10442.47
Titanium,8.84,282.28,21.92,31.65,8.99,34.86,410.23,0.3,874.11,0.43,4,9.81,4549.66
Plastic,23.26,468.73,34.43,70.51,19.09,34.97,480.2,0.29,495.29,13.64,74,15.46,17263.61
Copper,24.33,30.87,16.96,84.35,14.53,8.47,398.4,0.17,319.46,0.12,103,10.97,3822.71
Steel,23.72,212.3,3.3,70.58,18.64,8.18,305.86,0.12,527.29,11.04,4,5.23,6562.01
Brass,12.91,133.78,19.01,84.19,10.79,14.19,251.74,0.17,394.32,2.28,63,7.42,4424.62
Brass,21.83,366.76,47.25,45.73,5.55,35.62,29.63,0.3,573.02,13.68,28,10.32,12330.94
Steel,21.42,490.74,32.27,24.07,1.53,9.51,492.32,0.12,132.24,13.39,74,7.02,13421.25
Titanium,9.34,131.98,33.74,76.42,14.66,30.2,197.91,0.21,997.05,9.81,4,7.38,5442.89
Brass,21.07,328.82,31.8,42.44,2.87,8.54,84.59,0.29,437.04,10.08,112,7.41,10292.2
Plastic,2.85,103.06,10.35,70.41,6.4,26.81,336.69,0.16,361.27,0.08,117,3.33,1999.03
Copper,15.71,284.84,21.21,34.36,10.88,17.46,149.3,0.24,716.01,14.77,95,2.61,7054.3
Steel,7.29,234.65,37.67,17.31,11.51,32.61,297.03,0.12,376.62,13.17,35,1.88,3441.36
Copper,4.77,486.14,5.52,99.33,12.21,13.18,297.52,0.08,836.61,13.43,78,3.11,4442.54
Brass,3.77,306.22,14.25,24.06,3.74,27.37,228.41,0.29,465.19,9.89,18,7.53,2380.81
Brass,18.01,178.01,14.18,98.96,7.9,13.25,419.7,0.08,725.17,5.17,63,12.28,6412.02
Steel,9.82,61.48,21.88,97.96,12.54,29.98,139.83,0.13,125.3,13.4,21,4.57,3443.4
Plastic,18.67,79.87,49.03,81.44,19.41,35.58,229.83,0.31,849.2,4.37,33,17.87,7750.11
Aluminum,3.5,116.53,3.84,69.35,14.69,9.44,273.47,0.15,741,8.44,55,16.36,2529.08
Steel,9.25,129.23,26.18,62,18.49,35.33,335.18,0.34,227.48,1.5,16,10.89,4005.4
Aluminum,14.41,426.05,9.38,87.95,15.36,25.78,394.15,0.34,162.38,13.83,75,14.76,9612.8
Titanium,20.19,282.81,48.55,36.05,12.04,9.45,203.46,0.13,329.97,2.11,88,7.96,8751.32
Aluminum,9.33,264.08,6.11,52.09,4.24,19.96,326.56,0.06,976.55,3.37,55,1.7,4039.44
Plastic,16.4,61.81,20.48,65.75,13.5,10.63,83.8,0.26,271.69,8.37,16,18.18,3172.95
Titanium,22.38,430.77,37.03,47.01,12.66,29.51,467,0.19,467,11.46,73,3.43,13665.95
Aluminum,16.16,362.79,35.38,48.47,12.25,31.56,197.7,0.08,49.42,9.29,91,19.01,10303.95
Titanium,7.36,38.5,21.43,39.73,10.05,8.7,367.47,0.26,409.28,3.48,81,11.87,2698.36
Aluminum,2.56,355.38,17.65,60.78,10.81,22.71,19.97,0.06,579.89,0.01,114,6.81,3585.55
Plastic,22.01,274.05,20.18,86.55,7.02,33.51,110.54,0.31,954.06,11.36,17,10.41,9864.17
Aluminum,2.49,45.45,13.58,28.14,10.63,37.77,248.67,0.09,526.4,14.78,44,10.53,1925.63
Aluminum,22.12,231.86,10.66,94.1,4.35,22.97,440.34,0.09,822.73,12.15,95,1.44,7854.07
Aluminum,14.17,244.92,24.41,72.02,16.2,38.26,268.36,0.1,556.19,6.9,77,7.75,7267.58
Steel,23.6,87.06,13.79,84.09,4.12,23.75,465.64,0.34,59.97,13.56,55,15.06,4637.26
Steel,20.37,473.12,14.73,60.06,2.16,18.8,247.06,0.26,328.71,6.15,79,10.69,12392.91
Steel,24.95,425.74,33.01,80.16,9.01,34.69,250.32,0.29,584.04,7.87,49,5.64,15349.81
Plastic,10.07,336.17,48.44,11.46,13.34,22.25,68.68,0.17,951.58,7.16,57,7.37,5862.9
Titanium,19.65,233.84,30.38,83.65,9.04,21.52,403.3,0.15,861.95,6.71,17,17.4,8857.35
Brass,11.24,208.82,4.31,13.61,5.9,22.16,131.01,0.12,243.79,11.63,79,10.99,3937.23
Aluminum,13.04,327.23,4.24,90.09,11.38,34.64,450.81,0.19,235.71,7.9,80,11.04,6584.93
Aluminum,16.43,274.99,47.6,99.28,7.27,34.12,456.3,0.22,217.15,4.75,6,19.27,10139.63
Plastic,22.09,35.83,15.22,36.47,18.69,19.12,472.22,0.24,924.05,3.87,75,7.1,3304.42
Aluminum,24.63,258.69,5.06,28.93,18.49,16.67,264.91,0.13,855.61,0.57,97,10.11,8733.18
Steel,19.67,404.17,30.15,78.88,10.3,22.22,341.78,0.33,779.39,8.75,9,16.42,12292.71
Brass,11.61,232.32,31.37,32.77,6.89,25.05,391.47,0.1,404.88,3.45,68,15.42,5483.47
Copper,11.69,30.72,32.6,87.9,14.87,13.34,74.2,0.34,514.29,2.22,84,6.05,4478.71
Aluminum,18.96,394.21,13.74,19.26,1.22,32.79,304.47,0.05,475.05,9.81,2,3.87,9010.09
Steel,7.49,104.68,1.25,21.34,9.76,22.03,26.81,0.19,268.33,10.22,82,14.31,2552.72
Copper,4.54,133.02,48.27,98.12,7.06,16.69,253.81,0.15,514.93,11.28,108,5.9,6716.32
Brass,10.16,86.53,12.92,70.65,18.45,8.74,85.87,0.18,49.89,7.55,43,18.53,2881.71
Copper,8.61,168.46,33.96,86.22,0.73,13.36,99.63,0.22,149.17,13.41,98,3.46,5092.9
Steel,8.82,379.59,35.48,39.19,11.28,38.22,188.87,0.18,888.86,14.05,69,7.05,7049.26
Titanium,7.37,262.1,30.7,70.88,14.94,15.68,221.89,0.17,756.65,12.11,13,2.04,5396.77
Titanium,2.97,106.42,15.99,63.48,9.96,10.91,315.35,0.27,434.41,9.53,3,14.36,2032.53
Copper,2.41,439.53,13.92,64.28,2.17,21.12,46.47,0.26,526.81,4.56,108,17.93,4523.51
Plastic,24.72,440.39,30.08,71.43,19.46,15.75,256.81,0.3,382.6,14.74,114,13.08,16896.97
Copper,11.84,435.94,43.37,61.78,10.6,6.23,99.49,0.12,745.96,4.11,17,18.82,9196.94
Aluminum,10.84,123.2,47.36,48.62,12.48,16.31,291.25,0.23,788.5,3.04,92,3.44,5054.25
Aluminum,17.63,228.36,5.74,34.83,5.11,24.04,322.33,0.23,768.02,6.63,98,2.67,5719.49
Titanium,7.02,492.57,8.16,79.17,9.93,24.31,282.79,0.16,728.16,0.85,51,16.93,6011.49
Plastic,23.85,387.15,47.26,30.36,8.87,17.48,371.76,0.2,220.41,14.68,37,17.25,13111.88
Steel,20.09,18.45,36.96,72.31,1.96,20.66,174.45,0.14,351.21,8.83,79,16.79,4818.5
Aluminum,4.06,37.28,44.21,31,2.57,38.79,384.9,0.09,480.45,8.35,19,16.18,2456.71
Titanium,11.6,234.65,10.53,66.28,16.83,18.21,222.06,0.11,344.18,9.84,87,7.88,5048.35
Brass,22.22,455.06,29.59,77.24,5.18,14.04,247.25,0.08,759.84,7.46,98,5.13,14506.36
Titanium,23.73,271.66,35.21,29.68,4.3,13.52,327.57,0.25,342.77,0.48,43,18.65,8807.22
Aluminum,12.75,251.42,34.17,15.39,10.35,21.02,19,0.25,155.47,9.18,50,6.83,4745.03
Aluminum,16.11,57.21,20.7,21.79,15.49,31.58,330.46,0.34,411.06,10.74,18,8.57,2638.54
Titanium,5.84,330.11,1.26,64.54,1.71,12.21,313.11,0.27,980.32,6.25,119,14.29,4915.9
Steel,24.8,411.94,29.35,86.45,11.75,29.83,161.83,0.07,241.36,11.36,67,6.57,14957.35
Copper,7.33,193.31,13.03,14.05,2.82,5.74,52.04,0.32,619.92,3.41,96,16.56,3890.87
Aluminum,23.68,388.93,22.79,76.07,1.21,19.66,54.56,0.31,444.31,3.32,65,2.33,11885.73
Titanium,16.94,482.42,47.9,40.72,1.53,32.16,462.38,0.18,89.6,2.42,12,16.03,10734.84
Titanium,15.98,105.86,20.25,53.07,16.77,16.86,347.75,0.23,498.12,5.58,61,12.44,4480.39
Plastic,13.79,264.05,42.07,93.6,2.8,24.73,72.28,0.34,708.12,12.71,60,11.89,9557.14
Copper,7.31,147.13,9.83,39.88,1.38,12.17,184.79,0.21,522.96,12.42,108,9.71,3228.36
Brass,6.06,397.46,33.79,51.88,9.04,30.97,300.32,0.32,874.66,5.74,29,6.26,5732.16
Steel,7.07,290.91,48.86,11.23,16.96,6.83,419.43,0.07,303.16,8.84,97,9.82,4188.14
Brass,6.29,319.12,5.54,17.34,5.62,34.84,31.39,0.11,104.52,10.81,29,9.55,2901.04
Copper,19.93,399.97,0.91,33.27,8.72,11.94,125.95,0.18,937.83,3.62,50,12.09,9959.36
Copper,10.05,201.01,21.96,12.51,1.28,35.6,445.98,0.23,390.63,2.52,117,6.35,3627.5
Copper,3.33,457.97,5.08,66.82,9.26,17.34,14.49,0.29,584.88,14.58,87,2.47,3051.38
Brass,24.29,268.85,37.55,48.38,11.76,30.29,108.69,0.35,796.16,9.26,47,3.76,10318.88
Copper,22.33,83.19,45.77,59.33,11.63,16.17,479.92,0.17,337.83,14.72,107,14.28,6982.04
Titanium,23.34,349.47,21.98,25.72,6.98,36.71,310.57,0.06,721.84,5.07,32,1.43,10177.97
Brass,24.88,397.66,13.31,36.63,6.65,9.43,138.22,0.29,152.71,10.55,104,17.27,13476.7
Copper,6,161.8,22,69.74,2.58,11.25,42.83,0.23,305.47,3.34,112,14.19,4471.13
Titanium,11.11,429.3,36.31,96.88,7.65,22.26,23.81,0.11,161.82,3.92,73,15.59,9947
Plastic,19.44,453.54,0.95,14.54,2.44,7.87,129.93,0.2,815.01,7.68,81,16.88,11735.24
Copper,18.01,142.07,29.68,90.13,15.45,11.86,441.93,0.27,238.2,4.79,18,3.33,5957
Brass,5.54,491.84,30.86,61.92,19.34,38.03,213.8,0.28,723.06,2.51,70,16.63,7386.56
Aluminum,20.76,74.65,32.07,60.75,19.42,39.18,362.96,0.2,944.43,3.94,56,10.59,5929.98
Copper,7.16,105,12.48,55.03,17.37,18.17,459.96,0.14,537.22,0.54,18,17.82,2680.62
Aluminum,7.15,96.19,35.85,16.25,12.22,37.32,209.94,0.34,549.23,10.57,87,17.85,3972.63
Titanium,14.35,447.52,5.02,18.09,14.17,24.07,103.73,0.25,471.81,7.38,78,1.46,7939.36
Plastic,15.64,328.87,10.36,64.08,6.06,14.44,263.39,0.17,339.37,1.41,40,8.27,6682.37
Steel,15.34,80.29,43.93,40.69,12.8,29.58,454.96,0.13,486.14,2.58,41,11,4425.85
Plastic,4.1,222.96,37.07,92.55,9.39,28.06,404.14,0.27,610.75,1.54,86,13.89,6536.93
Copper,22.18,309.57,1.18,46.59,9.9,39.62,42.26,0.12,986.27,9.19,51,6.44,9264.27
Aluminum,8.11,46.31,12.79,22.9,15.28,14.28,349.36,0.1,939.01,1.41,115,5.79,2531.76
Aluminum,4.98,441.8,11.11,74.32,6,28.52,290.23,0.21,864.91,11.31,3,8.24,4396.4
Brass,22.44,402.78,13.9,36.4,6.7,6.82,454.66,0.14,891.35,0.31,101,10.52,11635.58
Aluminum,23.98,255.08,12.75,57.29,18.53,8.98,70.02,0.24,478.49,3.74,3,19.07,7794.94
Brass,21.83,483.73,3.6,72.8,1.6,5.14,271.68,0.09,664.3,13.36,4,15.48,12991.59
Titanium,20.62,211.79,23.22,91.02,9.97,39.98,440.94,0.25,897.17,10.78,40,9.16,8723.77
Steel,17.07,492.13,36.77,81.3,18.3,33.08,210.91,0.13,405.09,1.09,107,2.03,12736.71
Copper,14.67,335.62,30.53,70.87,12.4,32.54,246.18,0.05,962.53,12.32,86,4.2,9433.32
Brass,4,319.16,33.81,71.17,11.15,22.84,44.53,0.09,427.47,7.4,103,9.66,5458.49
Steel,11.39,87.15,4.52,95.13,5.37,15.5,146.29,0.33,609.06,12.7,116,16.46,4198.62
Aluminum,10.57,441.55,47.6,36.62,7.19,10.29,169.01,0.31,715.61,9.01,100,8.23,8495.8
Aluminum,7.97,216.61,42.01,10.1,17.11,14.96,473.11,0.12,951.58,10.23,60,11.23,4265.41
Steel,18.64,85.31,40.35,34.48,11.4,18.16,148.51,0.28,259.72,14.9,74,17.94,5054.27
Aluminum,13.41,11.24,41.24,29.61,10.54,31.47,235.83,0.23,751.21,3.49,54,18.36,3505.69
Titanium,3.86,282.08,46.67,69.57,2.44,23.89,338.94,0.34,530.4,9.36,74,5.1,5518.91
Titanium,7.06,266.06,27.44,67.03,0.81,7.71,89.47,0.16,283.19,6.9,12,1.83,4173.01
Steel,17.71,361.08,10.41,63.41,19.29,5.63,248.36,0.25,781.07,0.59,13,6.8,8132.72
Brass,3.75,445.68,31.03,11.46,7.85,8.58,371.88,0.07,561.18,0.22,59,14.22,3524.13
Brass,21.58,44.31,37.27,75.59,12.26,19.37,434.76,0.17,667.75,1.79,71,19.07,6123.67
Steel,13.39,367.09,37.03,39.12,2.05,37.66,316.87,0.34,336.44,9.74,24,2.46,7423.12
Brass,13.05,97.77,26.31,69.86,13.82,27.31,337.84,0.21,491.65,8.51,81,1.54,4287.25
Brass,15.63,429.8,3.89,60.09,18.69,33.06,71.88,0.14,625.01,8.3,114,17.8,10791.26
Titanium,20.97,410.44,18.87,40.85,11.73,21.32,473.43,0.09,416.81,0.48,43,15.21,10782.61
Brass,10,272.69,46.08,22.11,2.96,17.66,74.96,0.26,214.41,7.04,107,19.85,6347.83
Plastic,17.59,356.57,29.43,18.5,11.84,8.79,389.59,0.24,962.41,13.87,81,8.54,9538.18
Copper,15.01,160.6,27.15,84.84,15.44,35.66,139.76,0.16,521.24,5.96,9,8.9,6031.98
Aluminum,8.14,238.23,13.81,92.66,8.43,32.41,467.46,0.34,739.24,9.37,70,4.27,4870.82
Plastic,22.21,411.71,18.74,68.48,17.66,10.88,362.78,0.06,422.83,11.7,49,3.2,12290.79
Brass,20.34,232.34,44.82,19.31,13.15,22.93,379.37,0.14,368.03,11.76,43,12,7385.69
Titanium,17.14,182.11,33.49,46.18,18.04,22.06,117.34,0.33,419.02,7.79,13,7.92,5869.75
Steel,21.56,249.64,39.48,75.6,12.66,26.88,227.09,0.15,421.01,12.87,14,2.53,9890.41
Brass,21.95,414.98,22.99,80.18,3.06,38.12,312.73,0.13,553.3,5.87,15,17.85,12465.19
Titanium,18.29,170.93,31.7,20.64,6.54,25.29,387.29,0.21,552.6,13.33,1,4.77,5001.43
Copper,21.25,91.01,12.79,10,4.44,23.91,60.94,0.3,507.21,3.6,29,15.22,3204.52
Brass,18.04,357.45,35.42,74.09,18.22,6.76,481.56,0.08,152.09,4.2,29,6.36,9841.72
Steel,17.64,413.86,21.67,42.09,15.33,7.2,446.21,0.33,506.15,0.8,81,16.45,10367.21
Titanium,16.23,54.82,22.41,32.9,13.69,11.56,142.47,0.29,185.72,11.93,30,3.25,2215.95
Titanium,19.31,123.74,32.64,11.16,6.37,6.14,413.15,0.1,143.61,6.26,107,15.37,4771.89
Titanium,5.65,75.28,46.85,58.63,4.09,31.02,263.98,0.26,933.99,3.44,111,2.86,4633.74
Copper,22.26,177.23,3.67,86.6,15.25,30.32,236.29,0.17,612.85,3.48,76,9.49,6236.89
Brass,22.05,227.92,41.32,96.19,9.75,9.76,164.07,0.17,666.3,13.52,19,14.95,10753.07
Copper,2.67,375.67,14.97,60.92,4.9,34.26,294.67,0.28,413.76,12.51,48,4.29,2910.55
Aluminum,20.99,327.32,22.47,56.3,12.52,10.42,367.65,0.34,910.8,8.3,113,6.43,10598.6
Aluminum,4.96,312.36,1.58,17.66,1.29,15.54,211.36,0.09,645.17,9.24,34,17.43,2997.22
